step,train,valid,trainavg,validavg
1,27.4500012398,30.0000011921,30.0900006294,32.3333334923
2,30.7500004768,30.4166674614,30.0900006294,32.3333334923
3,30.7500004768,33.5416674614,30.0900006294,32.3333334923
4,31.099998951,34.0624988079,30.9100008011,33.1875002384
5,30.4000020027,33.6458325386,30.9800004959,33.8125002384
6,31.5500020981,34.2708349228,31.4200007915,34.2708337307
7,31.099998951,33.5416674614,31.9500005245,34.729167223
8,32.950001955,35.8333349228,32.5900006294,35.0625002384
9,33.7499976158,36.3541662693,33.3800005913,35.4166662693
10,33.6000025272,35.3124976158,34.1000008583,35.7291662693
11,35.5000019073,36.0416650772,34.4600009918,35.6041657925
12,34.7000002861,35.1041674614,34.8100018501,35.4999995232
13,34.7500026226,35.2083325386,34.6100008488,35.8333337307
14,35.5000019073,35.8333349228,34.7699999809,35.8750009537
15,32.5999975204,36.9791686535,34.8899996281,36.2083339691
16,36.2999975681,36.2500011921,35.1799988747,36.1666679382
17,35.2999985218,36.7708325386,35.4599988461,36.1041676998
18,36.1999988556,35.0000023842,36.3399994373,36.291667223
19,36.9000017643,35.5208337307,36.5100002289,36.4999997616
20,37.0000004768,37.9166662693,36.4700007439,36.208332777
21,37.1500015259,37.2916638851,36.1800014973,36.2708318233
22,35.1000010967,35.3124976158,36.4900016785,36.5624988079
23,34.7500026226,35.3124976158,36.400001049,36.0624992847
24,38.4500026703,36.9791686535,36.3600003719,35.8333337307
25,36.5499973297,35.4166686535,36.7599999905,35.9583342075
26,36.9499981403,36.1458361149,37.349998951,36.1875009537
27,37.0999991894,35.9375,36.8699979782,36.020834446
28,37.6999974251,36.4583313465,36.8399989605,36.0833334923
29,36.0499978065,36.1458361149,37.0999991894,36.0208332539
30,36.4000022411,35.7291638851,37.009999752,36.0208332539
31,38.2499992847,35.8333349228,36.6500008106,35.8749997616
32,36.6500020027,35.9375,36.5600013733,35.7291662693
33,35.900002718,35.7291638851,36.6700005531,35.9375
34,35.6000006199,35.4166686535,36.400001049,35.8541667461
35,36.9499981403,36.7708325386,36.7100012302,35.8333337307
36,36.9000017643,35.4166686535,36.5800011158,35.5833339691
37,38.2000029087,35.8333349228,35.8100008965,34.8541665077
38,35.2500021458,34.4791650772,35.1700007915,34.3124997616
39,31.7499995232,31.7708313465,34.7600007057,34.1874992847
40,33.7499976158,34.0624988079,34.3799996376,34.291665554
41,34.8500013351,34.7916662693,34.7799992561,34.8333323002
42,36.2999975681,36.3541662693,35.9899997711,35.7291662693
43,37.2500002384,37.1874988079,36.5299999714,36.25
44,37.8000020981,36.2500011921,36.6499996185,36.5625
45,36.4499986172,36.6666674614,36.8599998951,36.5208339691
46,35.4499995708,36.3541662693,36.7900002003,36.3958346844
47,37.349998951,36.1458361149,36.4800000191,36.4583349228
48,36.9000017643,36.5625023842,36.3700008392,36.3958346844
49,36.2500011921,36.5625023842,36.7800009251,36.3541686535
50,35.900002718,36.3541662693,36.5800011158,36.2083351612
51,37.5,36.1458361149,36.6000008583,35.8541679382
52,36.3499999046,35.4166686535,37.1600008011,35.7916676998
53,37.0000004768,34.7916662693,37.5999999046,35.7916676998
54,39.050000906,36.2500011921,37.2699999809,35.8541667461
55,38.0999982357,36.3541662693,37.3899996281,36.0416662693
56,35.8500003815,36.4583313465,37.120000124,36.4166665077
57,36.9499981403,36.3541662693,36.9200003147,36.6874992847
58,35.6500029564,36.6666674614,36.17000103,36.1249995232
59,38.0500018597,37.6041650772,36.2900006771,35.9791660309
60,34.350001812,33.5416674614,36.5600013733,36.2291657925
61,36.4499986172,35.7291638851,36.9200003147,36.479165554
62,38.3000016212,37.6041650772,37.009999752,36.4583325386
63,37.4499976635,37.9166662693,37.8099989891,37.3958325386
64,38.4999990463,37.5,37.4399995804,37.4374997616
65,38.3499979973,38.2291674614,37.1499991417,37.1041667461
66,34.6000015736,35.9375,37.2200000286,36.9583332539
67,36.8499994278,35.9375,37.1399998665,36.9375002384
68,37.8000020981,37.1874988079,37.1300005913,36.4791667461
69,38.0999982357,37.3958349228,37.879999876,36.4583337307
70,38.3000016212,35.9375,37.7199995518,36.2708342075
71,38.3499979973,35.8333349228,37.6999986172,36.020834446
72,36.0499978065,35.0000023842,37.6599991322,35.6041669846
73,37.6999974251,35.9375,37.7999985218,35.3958332539
74,37.9000008106,35.3124976158,38.0799984932,35.4583334923
75,38.9999985695,34.8958313465,38.6199986935,35.9166657925
76,39.7499978542,36.1458361149,38.9199995995,36.2499988079
77,38.7499988079,37.2916638851,39.129999876,36.2916660309
78,39.200001955,37.6041650772,38.1400001049,35.7291662693
79,38.9500021935,35.5208337307,37.0000004768,35.3541660309
80,34.0499997139,32.0833325386,36.3600003719,35.2916669846
81,34.0499997139,34.2708349228,35.9399998188,35.4166674614
82,35.5499982834,36.9791686535,35.569999218,35.8541679382
83,37.0999991894,38.2291674614,36.3999998569,37.1041679382
84,37.0999991894,37.7083361149,37.0500004292,37.7500009537
85,38.2000029087,38.3333325386,37.3900008202,37.7708339691
86,37.3000025749,37.5,37.380001545,37.4583339691
87,37.2500002384,37.0833337307,36.9600021839,37.1875
88,37.0500028133,36.6666674614,36.850001812,36.7708337307
89,35.0000023842,36.3541662693,37.1600008011,36.3750004768
90,37.650001049,36.2500011921,36.6200006008,35.8333337307
91,38.8499975204,35.5208337307,36.289999485,35.5000007153
92,34.5499992371,34.375,36.139998436,35.041667223
93,35.3999972343,35.0000023842,35.3399980068,34.104167223
94,34.249997139,34.0624988079,34.5399987698,33.4583342075
95,33.6499989033,31.5625011921,34.50999856,33.3333337307
96,34.8500013351,32.2916686535,34.5699989796,33.4375
97,34.399998188,33.7499976158,35.189999342,33.7708330154
98,35.6999993324,35.5208337307,35.6799995899,34.7083330154
99,37.349998951,35.7291638851,35.9599995613,35.5208325386
100,36.1000001431,36.2500011921,36.1899995804,36.0208332539
101,36.2500011921,36.3541662693,36.1099994183,36.0000002384
102,35.5499982834,36.2500011921,35.7299995422,36.1250007153
103,35.2999985218,35.4166686535,35.5999994278,36.0833334923
104,35.4499995708,36.3541662693,35.2999997139,36.0208332539
105,35.4499995708,36.0416650772,35.1900005341,35.9166657925
106,34.7500026226,36.0416650772,35.3900003433,36.2499988079
107,35.0000023842,35.7291638851,35.4400002956,36.0208320618
108,36.2999975681,37.0833337307,35.7700002193,35.9791660309
109,35.6999993324,35.2083325386,36.1699998379,36.1041665077
110,37.0999991894,35.8333349228,36.3899993896,36.1666667461
111,36.7500007153,36.6666674614,36.439999342,35.8124995232
112,36.1000001431,36.0416650772,36.5799999237,35.8541667461
113,36.5499973297,35.3124976158,36.6999995708,35.9791660309
114,36.4000022411,35.4166686535,37.0899999142,35.895832777
115,37.6999974251,36.4583313465,37.0599997044,35.8749997616
116,38.7000024319,36.2500011921,37.1500003338,35.8125007153
117,35.949999094,35.9375,37.3199999332,35.979167223
118,37.0000004768,35.0000023842,37.3500001431,35.8541679382
119,37.2500002384,36.2500011921,37.3099994659,35.7500004768
120,37.8499984741,35.8333349228,37.4599993229,35.9583342075
121,38.4999990463,35.7291638851,37.3299992085,36.4791667461
122,36.6999983788,36.9791686535,36.7599987984,35.895832777
123,36.3499999046,37.6041650772,36.2599992752,35.8333325386
124,34.399998188,33.3333313465,35.5199992657,35.8541667461
125,35.3500008583,35.5208337307,35.8099997044,35.7291662693
126,34.7999989986,35.8333349228,36.3699996471,35.4791665077
127,38.1500005722,36.3541662693,37.009999752,36.3750004768
128,39.1499996185,36.3541662693,37.2899997234,37.0416665077
129,37.5999987125,37.8125011921,37.7100002766,37.458332777
130,36.7500007153,38.8541638851,37.2600007057,37.6249992847
